block,date_time,eth_amount,usd_redemptions
28028541,2024-02-16 11:20:35,0.0,0.0
28058542,2024-02-18 05:27:05,0.0,0.0
28088543,2024-02-19 23:22:05,0.0,0.0
28118544,2024-02-21 17:22:00,0.0,0.0
28148545,2024-02-23 12:22:55,0.0,0.0
28178546,2024-02-25 08:42:10,0.0,0.0
28208547,2024-02-27 04:20:45,0.0,0.0
28238548,2024-02-28 23:16:45,0.0,0.0
28268549,2024-03-01 17:30:05,0.0,0.0
28298550,2024-03-03 12:17:45,0.0,0.0
28328551,2024-03-05 06:10:50,0.0,0.0
28358552,2024-03-07 00:13:20,0.0,0.0
28388553,2024-03-08 18:38:55,0.0,0.0
28418554,2024-03-10 13:15:40,0.0,0.0
28448555,2024-03-12 08:13:50,0.0,0.0
28478556,2024-03-14 02:02:10,0.0,0.0
28508557,2024-03-15 20:00:35,0.0,0.0
28538558,2024-03-17 14:32:40,0.0,0.0
28568559,2024-03-19 08:40:55,0.0,0.0
28598560,2024-03-21 02:52:35,1198.9870127658228,104.33615528109108
28628561,2024-03-22 20:32:55,1252.3155366737674,108.9595310849113
28658562,2024-03-24 14:27:15,1747.3692335339128,151.10685306408973
28688563,2024-03-26 08:07:40,1936.1089791928416,167.3023727377511
28718564,2024-03-28 01:48:20,2249.5957577971053,192.5135358861781
28748565,2024-03-29 19:28:55,2643.008082529152,223.50511003603648
28778566,2024-03-31 13:09:50,2643.008082529152,223.50511003603648
28808567,2024-04-02 06:50:55,2659.675752092745,224.7871432864972
28838568,2024-04-04 01:13:25,2981.5912598292716,249.2014907059478
28868569,2024-04-05 19:14:05,3000.243399911427,250.60298001590368
28898570,2024-04-07 12:58:20,3000.243399911427,250.60298001590368
28928571,2024-04-09 07:06:40,3000.243399911427,250.60298001590368
28958572,2024-04-11 01:36:20,3000.243399911427,250.60298001590368
28988573,2024-04-12 19:36:40,3000.243399911427,250.60298001590368
29018574,2024-04-14 13:45:40,3040.9083337648685,253.5045297222432
29048575,2024-04-16 08:02:10,3040.9083337648685,253.5045297222432
29078576,2024-04-18 01:45:40,3047.688816566532,253.98160189882591
29108577,2024-04-19 19:26:45,3047.688816566532,253.98160189882591
29138578,2024-04-21 13:07:25,3047.688816566532,253.98160189882591
29168579,2024-04-23 07:11:45,3047.688816566532,253.98160189882591
29198580,2024-04-25 01:47:25,3047.688816566532,253.98160189882591
29228581,2024-04-26 19:51:15,3047.688816566532,253.98160189882591
29258582,2024-04-28 13:45:20,3047.688816566532,253.98160189882591
29288583,2024-04-30 08:23:45,3047.688816566532,253.98160189882591
29318584,2024-05-02 02:53:15,3488.777477563391,280.2361579947969
29348585,2024-05-03 20:37:25,3649.73274100284,289.50380506927365
29378586,2024-05-05 14:23:15,3989.978191215681,309.89199319164203
29408587,2024-05-07 08:05:00,3989.978191215681,309.89199319164203
29438588,2024-05-09 01:48:20,4073.107848662561,314.45516913832074
29468589,2024-05-10 19:58:05,4073.107848662561,314.45516913832074
29498590,2024-05-12 14:29:10,4260.8173009588045,324.842665219941
29528591,2024-05-14 09:18:10,5007.790945690304,362.7668402602374
29558592,2024-05-16 03:47:25,5924.008379356245,409.1501587910744
29588593,2024-05-17 21:28:10,6001.276173941108,413.0812330794675
29618594,2024-05-19 15:57:00,6001.276173941108,413.0812330794675
29648595,2024-05-21 10:04:35,6001.276173941108,413.0812330794675
29678596,2024-05-23 05:01:45,6413.070154434672,433.0609144281108
29708597,2024-05-25 00:51:15,7705.899136795702,493.3421866606597
29738598,2024-05-26 19:47:40,7705.899136795702,493.3421866606597
29768599,2024-05-28 13:36:05,7705.899136795702,493.3421866606597
29798600,2024-05-30 08:25:40,7705.899136795702,493.3421866606597
29828601,2024-06-01 03:49:35,7705.899136795702,493.3421866606597
29858602,2024-06-02 22:52:55,7705.899136795702,493.3421866606597
29888603,2024-06-04 18:33:50,7705.899136795702,493.3421866606597
