block,date_time,eth_amount,usd_redemptions
311868153,2023-11-25 07:35:53,0.0,0.0
311968154,2023-11-25 21:29:21,0.0,0.0
312068155,2023-11-26 11:22:41,0.0,0.0
312168156,2023-11-27 01:16:03,0.0,0.0
312268157,2023-11-27 15:15:35,0.0,0.0
312368158,2023-11-28 05:09:08,0.0,0.0
312468159,2023-11-28 19:02:29,0.0,0.0
312568160,2023-11-29 08:55:55,0.0,0.0
312668161,2023-11-29 22:49:17,0.0,0.0
312768162,2023-11-30 12:48:33,0.0,0.0
312868163,2023-12-01 02:43:46,0.0,0.0
312968164,2023-12-01 16:37:57,0.0,0.0
313068165,2023-12-02 06:31:51,0.0,0.0
313168166,2023-12-02 20:25:34,0.0,0.0
313268167,2023-12-03 10:19:09,0.0,0.0
313368168,2023-12-04 00:12:32,0.0,0.0
313468169,2023-12-04 14:05:57,0.0,0.0
313568170,2023-12-05 03:59:17,0.0,0.0
313668171,2023-12-05 17:52:38,0.0,0.0
313768172,2023-12-06 07:45:59,0.0,0.0
313868173,2023-12-06 21:39:22,0.0,0.0
313968174,2023-12-07 11:38:37,0.0,0.0
314068175,2023-12-08 01:31:58,0.0,0.0
314168176,2023-12-08 15:25:18,0.0,0.0
314268177,2023-12-09 05:18:39,537.5052004971752,123.85974122227266
314368178,2023-12-09 19:12:01,1160.9956697690493,267.5334547177638
314468179,2023-12-10 09:05:22,1351.959879109207,311.5381964946057
314568180,2023-12-10 22:58:45,1688.2049896764636,389.0206698615471
314668181,2023-12-11 12:52:07,1743.995886261025,401.87681712697
314768182,2023-12-12 02:45:31,1831.7870231754816,422.10692371901
314868183,2023-12-12 16:39:40,1831.848268089689,422.1210366600902
314968184,2023-12-13 06:33:13,1882.5395597084523,433.8020590135767
315068185,2023-12-13 20:26:36,1882.5395597084523,433.8020590135767
315168186,2023-12-14 10:19:59,1882.5395597084523,433.8020590135767
315268187,2023-12-15 00:13:25,1911.750716667117,440.5333173127649
315368188,2023-12-15 14:09:28,1994.612676947536,459.62757155999776
315468189,2023-12-16 04:02:56,2151.896827224225,495.8712658230789
315568190,2023-12-16 17:56:16,2152.943471262332,496.11244871692224
315668191,2023-12-17 07:49:39,2152.943471262332,496.11244871692224
315768192,2023-12-17 21:43:00,2176.200823903256,501.47174510504186
315868193,2023-12-18 11:36:26,2186.4609263983243,503.8360266762298
315968194,2023-12-19 01:29:46,2186.4609263983243,503.8360266762298
316068195,2023-12-19 15:23:18,2186.4609263983243,503.8360266762298
316168196,2023-12-20 05:16:50,2192.632259460019,505.25811471428216
316268197,2023-12-20 19:10:11,2192.6723481370977,505.2673525284732
316368198,2023-12-21 09:04:35,2192.6723481370977,505.2673525284732
316468199,2023-12-21 22:58:40,2192.6723481370977,505.2673525284732
316568200,2023-12-22 12:52:03,2393.3546633351552,551.5114811533247
316668201,2023-12-23 02:51:25,2545.4308892061463,586.5550899686775
316768202,2023-12-23 16:45:48,2554.929837384473,588.7439753267412
316868203,2023-12-24 06:39:09,2556.497575215301,589.1052362072891
316968204,2023-12-24 20:32:36,2556.546226346678,589.1164471063407
317068205,2023-12-25 10:26:00,2568.905618247739,591.9644773786322
317168206,2023-12-26 00:20:14,3419.659766019433,788.007582616143
317268207,2023-12-26 14:18:28,4053.710241909392,934.1146859389544
317368208,2023-12-27 04:11:50,5050.189829370442,1163.7379597641
317468209,2023-12-27 18:05:11,5571.622769793234,1283.8940977992245
317568210,2023-12-28 07:58:32,6688.773022294083,1541.324055785052
317668211,2023-12-28 21:52:05,7325.414836016682,1688.0282927413116
317768212,2023-12-29 11:45:28,7479.57756798875,1723.552704543313
317868213,2023-12-30 01:38:49,7607.88859683097,1753.119992103807
317968214,2023-12-30 15:32:10,7693.10237365267,1772.7561860158764
318068215,2023-12-31 05:25:30,7693.113766762423,1772.7588113814068
318168216,2023-12-31 19:19:09,7693.113766762423,1772.7588113814068
318268217,2024-01-01 09:12:29,7693.113766762423,1772.7588113814068
318368218,2024-01-01 23:05:51,7693.113766762423,1772.7588113814068
318468219,2024-01-02 12:59:58,7693.136370489186,1772.7640200598437
318568220,2024-01-03 02:53:38,7693.136370489186,1772.7640200598437
318668221,2024-01-03 16:47:28,7727.8250595353,1780.7574907176484
318768222,2024-01-04 06:41:02,7727.8250595353,1780.7574907176484
318868223,2024-01-04 20:34:22,7745.443508167774,1784.8173890894925
318968224,2024-01-05 10:27:43,7745.443508167774,1784.8173890894925
319068225,2024-01-06 00:21:04,7787.422090969717,1794.490702757745
319168226,2024-01-06 14:14:25,8603.697517160004,1982.5887210848457
319268227,2024-01-07 04:07:47,8697.887639509718,2004.2933746754316
319368228,2024-01-07 18:01:07,8756.142017686581,2017.7171930857032
319468229,2024-01-08 07:54:28,9623.202861375945,2217.517923616299
319568230,2024-01-08 21:47:52,9627.691532383717,2218.5522682681094
319668231,2024-01-09 11:41:14,9627.73151429178,2218.5614567472926
319768232,2024-01-10 01:34:45,9742.239058195648,2246.4043718277626
319868233,2024-01-10 15:28:10,9745.18722644333,2247.1212293846065
319968234,2024-01-11 05:21:56,9977.103917599476,2301.4607694183255
320068235,2024-01-11 19:15:18,10527.25991500206,2430.3657813716063
320168236,2024-01-12 09:08:38,10834.69355388603,2505.11870475708
320268237,2024-01-12 23:01:59,11745.329727291297,2726.54117612267
320368238,2024-01-13 12:55:35,12319.592081741484,2860.1521569609613
320468239,2024-01-14 02:49:03,12361.275718098756,2869.5425415833347
320568240,2024-01-14 16:42:25,12361.29721491532,2869.5473843320324
