date,price
,ETH-USD
2021-01-01,737.7083740234375
2021-01-02,730.4026489257812
2021-01-03,774.5118408203125
2021-01-04,977.058837890625
2021-01-05,1041.498779296875
2021-01-06,1101.0050048828125
2021-01-07,1208.078369140625
2021-01-08,1225.9678955078125
2021-01-09,1223.740478515625
2021-01-10,1280.87109375
2021-01-11,1261.6229248046875
2021-01-12,1088.5267333984375
2021-01-13,1043.740966796875
2021-01-14,1130.231201171875
2021-01-15,1221.877197265625
2021-01-16,1171.443115234375
2021-01-17,1233.453369140625
2021-01-18,1230.313232421875
2021-01-19,1257.4345703125
2021-01-20,1375.2484130859375
2021-01-21,1382.6844482421875
2021-01-22,1118.8890380859375
2021-01-23,1235.2679443359375
2021-01-24,1231.2105712890625
2021-01-25,1390.639892578125
2021-01-26,1323.74169921875
2021-01-27,1358.3333740234375
2021-01-28,1251.27978515625
2021-01-29,1369.0867919921875
2021-01-30,1382.23193359375
2021-01-31,1376.8236083984375
2021-02-01,1314.855224609375
2021-02-02,1369.505126953125
2021-02-03,1514.7696533203125
2021-02-04,1661.170166015625
2021-02-05,1594.7933349609375
2021-02-06,1717.7974853515625
2021-02-07,1677.605712890625
2021-02-08,1613.6422119140625
2021-02-09,1746.9261474609375
2021-02-10,1768.039794921875
2021-02-11,1743.7142333984375
2021-02-12,1783.4891357421875
2021-02-13,1843.98681640625
2021-02-14,1814.372314453125
2021-02-15,1804.6767578125
2021-02-16,1778.945556640625
2021-02-17,1781.35009765625
2021-02-18,1848.206298828125
2021-02-19,1938.85986328125
2021-02-20,1959.9029541015625
2021-02-21,1918.673095703125
2021-02-22,1935.557861328125
2021-02-23,1781.4090576171875
2021-02-24,1571.4764404296875
2021-02-25,1625.3939208984375
2021-02-26,1478.6533203125
2021-02-27,1446.929443359375
2021-02-28,1459.8604736328125
2021-03-01,1417.151123046875
2021-03-02,1564.0634765625
2021-03-03,1491.451171875
2021-03-04,1574.623779296875
2021-03-05,1541.541748046875
2021-03-06,1532.372802734375
2021-03-07,1655.3924560546875
2021-03-08,1724.229248046875
2021-03-09,1835.1480712890625
2021-03-10,1868.489013671875
2021-03-11,1798.033935546875
2021-03-12,1826.5467529296875
2021-03-13,1772.1663818359375
2021-03-14,1923.86376953125
2021-03-15,1854.086669921875
2021-03-16,1792.413818359375
2021-03-17,1807.05615234375
2021-03-18,1823.158447265625
2021-03-19,1782.5687255859375
2021-03-20,1817.522705078125
2021-03-21,1812.6065673828125
2021-03-22,1788.3621826171875
2021-03-23,1690.871826171875
2021-03-24,1678.0025634765625
2021-03-25,1593.123291015625
2021-03-26,1595.2100830078125
2021-03-27,1703.0361328125
2021-03-28,1716.4056396484375
2021-03-29,1691.26318359375
2021-03-30,1819.46630859375
2021-03-31,1846.0982666015625
2021-04-01,1919.1572265625
2021-04-02,1976.9327392578125
2021-04-03,2142.89599609375
2021-04-04,2027.6712646484375
2021-04-05,2093.2607421875
2021-04-06,2109.4931640625
2021-04-07,2117.728515625
2021-04-08,1969.1331787109375
2021-04-09,2088.772216796875
2021-04-10,2071.111572265625
2021-04-11,2136.156982421875
2021-04-12,2157.36181640625
2021-04-13,2139.3642578125
2021-04-14,2299.347900390625
2021-04-15,2436.03466796875
2021-04-16,2516.601806640625
2021-04-17,2429.98095703125
2021-04-18,2346.452392578125
2021-04-19,2238.03271484375
2021-04-20,2161.939453125
2021-04-21,2331.16015625
2021-04-22,2357.87109375
2021-04-23,2401.25634765625
2021-04-24,2367.19921875
2021-04-25,2214.413818359375
2021-04-26,2319.47802734375
2021-04-27,2534.03125
2021-04-28,2664.685546875
2021-04-29,2748.649658203125
2021-04-30,2757.734130859375
2021-05-01,2772.83837890625
2021-05-02,2945.56005859375
2021-05-03,2951.17578125
2021-05-04,3431.131591796875
2021-05-05,3240.5546875
2021-05-06,3524.930908203125
2021-05-07,3490.105224609375
2021-05-08,3481.988037109375
2021-05-09,3911.463134765625
2021-05-10,3924.413330078125
2021-05-11,3948.27197265625
2021-05-12,4174.6357421875
2021-05-13,3828.91845703125
2021-05-14,3720.122314453125
2021-05-15,4075.95166015625
2021-05-16,3641.830810546875
2021-05-17,3581.343017578125
2021-05-18,3276.872314453125
2021-05-19,3382.6572265625
2021-05-20,2439.638671875
2021-05-21,2772.34130859375
2021-05-22,2436.0146484375
2021-05-23,2298.3671875
2021-05-24,2099.93603515625
2021-05-25,2649.033203125
2021-05-26,2707.052734375
2021-05-27,2888.75244140625
2021-05-28,2742.468994140625
2021-05-29,2414.067138671875
2021-05-30,2278.288818359375
2021-05-31,2387.198486328125
2021-06-01,2707.560546875
2021-06-02,2634.4560546875
2021-06-03,2708.376220703125
2021-06-04,2857.16552734375
2021-06-05,2691.619384765625
2021-06-06,2629.748779296875
2021-06-07,2713.04736328125
2021-06-08,2594.602294921875
2021-06-09,2510.19921875
2021-06-10,2611.142578125
2021-06-11,2472.85888671875
2021-06-12,2354.752197265625
2021-06-13,2372.690185546875
2021-06-14,2508.7705078125
2021-06-15,2587.7626953125
2021-06-16,2544.86474609375
2021-06-17,2367.306396484375
2021-06-18,2374.5869140625
2021-06-19,2235.1591796875
2021-06-20,2171.337890625
2021-06-21,2245.31787109375
2021-06-22,1886.6676025390625
2021-06-23,1878.625
2021-06-24,1968.9573974609375
2021-06-25,1989.2158203125
2021-06-26,1810.88427734375
2021-06-27,1830.9969482421875
2021-06-28,1981.386474609375
2021-06-29,2083.44873046875
2021-06-30,2164.21630859375
2021-07-01,2274.3974609375
2021-07-02,2109.892578125
2021-07-03,2150.8349609375
