date,price
2024-01-07,2579.951088158759
2024-01-08,2558.0518538837546
2024-01-09,2680.5735598580627
2024-01-10,2687.4185813828167
2024-01-11,2989.805863721556
2024-01-12,3015.5230587896654
2024-01-13,2895.960589287111
2024-01-14,2967.4770360920206
2024-01-15,2864.885603366396
2024-01-16,2912.728507229746
2024-01-17,2990.3178056309484
2024-01-18,2906.7110260773725
2024-01-19,2838.8093846222023
2024-01-20,2870.201844858209
2024-01-21,2846.3966688003097
2024-01-22,2832.8849158084186
2024-01-23,2665.529151933904
2024-01-24,2589.1537157500625
2024-01-25,2573.1982575305533
2024-01-26,2555.8815905560755
2024-01-27,2612.3817184185496
2024-01-28,2616.81431201443
2024-01-29,2602.277125003337
2024-01-30,2669.503497391541
2024-01-31,2727.5240257578143
2024-02-01,2622.638892541807
2024-02-02,2655.229207622409
2024-02-03,2666.1878492263254
2024-02-04,2653.546241144993
2024-02-05,2645.1887905430585
2024-02-06,2664.3687469783918
2024-02-07,2748.7360322308423
2024-02-08,2804.230828082018
2024-02-09,2798.96807030216
2024-02-10,2877.475424775275
2024-02-11,2891.390481006712
2024-02-12,2898.8952889372194
2024-02-13,3049.4019034696616
2024-02-14,3039.6749624024133
2024-02-15,3214.709649502121
2024-02-16,3264.5981393807556
2024-02-17,3245.7346354064302
2024-02-18,3220.5433700770345
2024-02-19,3326.4959472513215
2024-02-20,3414.8681233942534
2024-02-21,3483.2037059367635
2024-02-22,3406.303321447957
2024-02-23,3451.807483785451
2024-02-24,3380.78920080547
2024-02-25,3444.9717419584804
2024-02-26,3597.842750642929
2024-02-27,3675.3775514974927
2024-02-28,3756.189956783483
2024-02-29,3900.107599584134
2024-03-01,3863.133157388321
2024-03-02,3968.954560545244
2024-03-03,3943.3844960449014
2024-03-04,4034.387205195957
2024-03-05,4188.707205698256
2024-03-06,4117.424342774788
2024-03-07,4458.1104053463705
2024-03-08,4454.823677004778
2024-03-09,4509.140251836393
2024-03-10,4508.758727030457
2024-03-11,4475.823704640277
2024-03-12,4707.976104129541
2024-03-13,4585.953225454552
2024-03-14,4609.602541802007
2024-03-15,4474.506852313355
2024-03-16,4328.88142296469
2024-03-17,4058.9873451852445
2024-03-18,4228.282911690594
2024-03-19,4091.47087419495
2024-03-20,3660.2211280870897
2024-03-21,4070.5052915308847
2024-03-22,4046.7201142478752
2024-03-23,3848.097911383847
2024-03-24,3902.0383756956876
2024-03-25,3999.543967803569
2024-03-26,4171.419886927623
2024-03-27,4161.431612962197
2024-03-28,4075.888515024417
2024-03-29,4125.977085981888
2024-03-30,4069.373289370483
2024-03-31,4064.7175494789985
2024-04-01,4208.441988718733
2024-04-02,4057.1339111909165
2024-04-03,3798.5256425979996
2024-04-04,3839.1117854628046
2024-04-05,3853.7387175444774
2024-04-06,3853.432187109304
2024-04-07,3902.645451553282
2024-04-08,3999.160920566999
2024-04-09,4286.958412076285
2024-04-10,4061.540147784558
2024-04-11,4110.579266556616
2024-04-12,4070.4073290458896
2024-04-13,3754.68478883813
2024-04-14,3496.6069231823753
2024-04-15,3668.7416697591534
2024-04-16,3600.472569742697
2024-04-17,3577.441124764737
2024-04-18,3465.7121958408893
2024-04-19,3571.843666194177
2024-04-20,3563.3223908250548
2024-04-21,3667.5664668358695
2024-04-22,3665.4312086838167
2024-04-23,3710.989436287592
2024-04-24,3727.67406861602
2024-04-25,3639.700762291734
2024-04-26,3663.504379924758
2024-04-27,3640.925350339411
2024-04-28,3785.1860977233378
2024-04-29,3795.334798390043
2024-04-30,3746.3218600900773
2024-05-01,3499.693017737595
2024-05-02,3448.093275383509
2024-05-03,3482.1634736619403
2024-05-04,3621.5319790582257
2024-05-05,3630.6979697091224
2024-05-06,3656.244360192955
2024-05-07,3580.044601478006
2024-05-08,3519.9352865484498
2024-05-09,3464.863640897941
2024-05-10,3539.0635620256126
2024-05-11,3391.600478201638
2024-05-12,3397.0036358904995
2024-05-13,3418.724841047205
2024-05-14,3436.5693469208522
2024-05-15,3359.4391524144835
2024-05-16,3521.836828161299
2024-05-17,3423.453506195246
2024-05-18,3603.4873908036557
2024-05-19,3634.913502021162
2024-05-20,3587.5361521381014
2024-05-21,4279.7808952486685
2024-05-22,4428.709246968898
2024-05-23,4380.3822017313005
2024-05-24,4407.8887124423045
2024-05-25,4355.0904819618745
2024-05-26,4370.087020871121
2024-05-27,4471.408379187672
2024-05-28,4539.738661497929
2024-05-29,4497.953633702881
2024-05-30,4402.481674333892
2024-05-31,4375.901370142426
2024-06-01,4396.868667741755
2024-06-02,4451.13402592174
2024-06-03,4413.5600773737015
2024-06-04,4399.098378727546
2024-06-05,4448.685191893562
2024-06-06,4508.834363950098
2024-06-07,4468.930522080609
2024-06-08,4300.945300671557
2024-06-09,4306.64375735473
2024-06-10,4334.67545034406
2024-06-11,4285.863505580392
2024-06-12,4087.428860112461
2024-06-13,4155.334946103867
2024-06-14,4050.860835844342
2024-06-15,4066.6212578567247
2024-06-16,4171.249956683264
2024-06-17,4240.850557725922
2024-06-18,4107.227613666974
2024-06-19,4068.2479524649593
2024-06-20,4165.632927050691
2024-06-21,4110.629498223755
2024-06-22,4114.016115272149
2024-06-23,4089.366905478895
2024-06-24,3998.6975598940053
2024-06-25,3921.0181407017585
2024-06-26,3970.0347565666384
2024-06-27,3943.4015180572947
2024-06-28,4033.4261910174437
2024-06-29,3949.8284870211783
2024-06-30,3948.904859367388
2024-07-01,4021.1140421797572
2024-07-02,4026.6300924269945
2024-07-03,4003.60532075715
2024-07-04,3860.886238690419
2024-07-05,3606.2681899606796
