block,date_time,reward,usd_rewards
343752900,2024-05-27 22:19:41,0.0,0.0
343852900,2024-05-28 12:13:03,0.0,0.0
343952900,2024-05-29 02:06:24,3.7918695106411016e+16,0.037918695106411014
344052900,2024-05-29 15:59:50,2.172310778567967e+19,21.723107785679673
344152900,2024-05-30 05:53:12,3.1425566184758977e+19,31.425566184758978
344252900,2024-05-30 19:46:50,6.779802342938932e+19,67.79802342938932
344352900,2024-05-31 09:40:10,7.241992588144415e+19,72.41992588144414
344452900,2024-05-31 23:33:30,1.8299633702735344e+20,182.99633702735343
344552900,2024-06-01 13:26:51,2.1284293304631453e+20,212.84293304631453
344652900,2024-06-02 03:20:55,2.2906815765520728e+20,229.06815765520727
344752900,2024-06-02 17:14:15,2.62793957269242e+20,262.793957269242
344852900,2024-06-03 07:07:35,2.732243082363864e+20,273.2243082363864
344952900,2024-06-03 21:01:20,3.0470877991831654e+20,304.7087799183165
345052900,2024-06-04 10:55:16,3.169675591757811e+20,316.9675591757811
345152900,2024-06-05 00:48:47,4.969404268657776e+20,496.94042686577757
345252900,2024-06-05 14:42:13,5.2839597247909554e+20,528.3959724790956
345352900,2024-06-06 04:35:33,5.536563015536961e+20,553.6563015536962
345452900,2024-06-06 18:28:55,5.851432528514556e+20,585.1432528514556
345552900,2024-06-07 08:22:15,5.976198079141304e+20,597.6198079141304
345652900,2024-06-07 22:17:59,6.935044850074511e+20,693.5044850074511
345752900,2024-06-08 12:11:19,7.337051767709668e+20,733.7051767709669
345852900,2024-06-09 02:04:40,7.873172542270025e+20,787.3172542270025
345952900,2024-06-09 15:58:00,8.486049397130192e+20,848.6049397130192
346052900,2024-06-10 05:51:20,8.717383977162624e+20,871.7383977162624
346152900,2024-06-10 19:44:40,9.184308019054256e+20,918.4308019054256
346252900,2024-06-11 09:38:00,9.775818417499225e+20,977.5818417499225
346352900,2024-06-11 23:31:26,1.0205765080291368e+21,1020.5765080291368
346452900,2024-06-12 13:24:50,1.0546836556653589e+21,1054.6836556653589
346552900,2024-06-13 03:18:17,1.175542433482818e+21,1175.542433482818
346652900,2024-06-13 17:11:37,1.307100207242881e+21,1307.100207242881
346752900,2024-06-14 07:04:57,1.3271733824203152e+21,1327.1733824203152
346852900,2024-06-14 20:58:23,1.360216748583996e+21,1360.2167485839962
346952900,2024-06-15 10:51:43,1.439484731785542e+21,1439.4847317855422
347052900,2024-06-16 00:45:04,1.4668230685889035e+21,1466.8230685889034
347152900,2024-06-16 14:38:25,1.5007155889540445e+21,1500.7155889540445
347252900,2024-06-17 04:31:45,1.5198364975667413e+21,1519.8364975667414
347352900,2024-06-17 18:25:05,1.5667171493584757e+21,1566.7171493584758
347452900,2024-06-18 08:18:25,1.6475132316675833e+21,1647.5132316675833
347552900,2024-06-18 22:11:45,1.7051283121844975e+21,1705.1283121844974
347652900,2024-06-19 12:05:05,1.9143448096237017e+21,1914.3448096237016
347752900,2024-06-20 01:58:25,1.934569494142238e+21,1934.569494142238
347852900,2024-06-20 15:51:45,1.9771673156952095e+21,1977.1673156952095
347952900,2024-06-21 05:45:05,1.9840332520049955e+21,1984.0332520049956
348052900,2024-06-21 19:38:31,2.0442205219962665e+21,2044.2205219962666
348152900,2024-06-22 09:31:51,2.1164075473254647e+21,2116.4075473254647
348252900,2024-06-22 23:25:11,2.267781861331232e+21,2267.781861331232
348352900,2024-06-23 13:18:31,2.288600328457618e+21,2288.6003284576177
348452900,2024-06-24 03:11:51,2.373268863224097e+21,2373.2688632240965
348552900,2024-06-24 17:05:11,2.4791494758892983e+21,2479.149475889298
348652900,2024-06-25 06:58:31,2.492457022060359e+21,2492.457022060359
348752900,2024-06-25 20:51:52,2.565147440054023e+21,2565.147440054023
348852900,2024-06-26 10:45:12,2.569782599277067e+21,2569.7825992770668
348952900,2024-06-27 00:38:32,2.6314690556885215e+21,2631.4690556885216
349052900,2024-06-27 14:31:52,2.6695979591467197e+21,2669.59795914672
