block,date_time,reward,usd_rewards
51456978,2024-03-15 01:38:21,0.0,0.0
51466978,2024-03-15 06:33:18,0.0,0.0
51476978,2024-03-15 11:35:43,0.0,0.0
51486978,2024-03-15 16:29:13,0.0,0.0
51496978,2024-03-15 21:30:45,0.0,0.0
51506978,2024-03-16 02:22:21,0.0,0.0
51516978,2024-03-16 07:06:46,0.0,0.0
51526978,2024-03-16 11:50:38,0.0,0.0
51536978,2024-03-16 16:37:43,0.0,0.0
51546978,2024-03-16 21:25:02,0.0,0.0
51556978,2024-03-17 02:11:38,0.0,0.0
51566978,2024-03-17 06:57:20,0.0,0.0
51576978,2024-03-17 11:50:14,0.0,0.0
51586978,2024-03-17 16:41:33,0.0,0.0
51596978,2024-03-17 21:29:04,0.0,0.0
51606978,2024-03-18 02:15:59,0.0,0.0
51616978,2024-03-18 07:01:41,0.0,0.0
51626978,2024-03-18 11:49:12,0.0,0.0
51636978,2024-03-18 16:37:50,0.0,0.0
51646978,2024-03-18 21:24:25,0.0,0.0
51656978,2024-03-19 02:12:31,0.0,0.0
51666978,2024-03-19 06:58:19,0.0,0.0
51676978,2024-03-19 11:44:12,0.0,0.0
51686978,2024-03-19 16:30:52,0.0,0.0
51696978,2024-03-19 21:15:25,0.0,0.0
51706978,2024-03-20 02:00:28,0.0,0.0
51716978,2024-03-20 06:46:22,0.0,0.0
51726978,2024-03-20 11:32:56,0.0,0.0
51736978,2024-03-20 16:19:33,0.0,0.0
51746978,2024-03-20 21:04:40,0.0,0.0
51756978,2024-03-21 01:51:20,0.0,0.0
51766978,2024-03-21 06:35:16,0.0,0.0
51776978,2024-03-21 11:23:40,0.0,0.0
51786978,2024-03-21 16:10:45,0.0,0.0
51796978,2024-03-21 20:55:12,1.5860455452183453e+17,0.3638501339033283
51806978,2024-03-22 01:38:57,1.092522375543509e+18,2.4353328882771685
51816978,2024-03-22 06:24:17,4.3247360034172216e+18,9.604566238239244
51826978,2024-03-22 11:11:31,2.9877983786090852e+19,66.28312071977057
51836978,2024-03-22 15:56:59,3.1912777512424296e+19,70.79640873926323
51846978,2024-03-22 20:42:01,3.861039781300719e+19,85.65211085320715
51856978,2024-03-23 01:27:17,3.861047308229555e+19,85.65226894542457
51866978,2024-03-23 06:13:11,4.7209197258548625e+19,103.71264126393116
51876978,2024-03-23 11:07:02,5.634948319345972e+19,122.91048546714369
51886978,2024-03-23 15:52:05,5.716601950072201e+19,124.62550148794615
51896978,2024-03-23 20:36:47,6.823135355209106e+19,147.86662990421507
51906978,2024-03-24 01:20:20,8.584100424554707e+19,189.3560017406652
51916978,2024-03-24 06:04:26,8.584100424554707e+19,189.3560017406652
51926978,2024-03-24 10:49:02,9.183846038474231e+19,203.48636083542797
51936978,2024-03-24 15:32:49,9.183846038474231e+19,203.48636083542797
51946978,2024-03-24 20:17:50,1.018415909901818e+20,227.05432435964946
51956978,2024-03-25 01:03:08,1.0877542996992727e+20,244.02780714644516
51966978,2024-03-25 05:46:08,1.0932164488874356e+20,245.36489754463602
51976978,2024-03-25 10:29:19,1.1029017972376528e+20,247.73579329209636
51986978,2024-03-25 15:14:43,1.105670689922448e+20,248.4135960570746
51996978,2024-03-25 19:59:48,1.1738118657004716e+20,265.0940104352978
52006978,2024-03-26 00:45:20,1.1738118657004716e+20,265.0940104352978
52016978,2024-03-26 05:29:26,1.2011991298171363e+20,271.6304294670297
52026978,2024-03-26 10:15:05,1.2012050077181672e+20,271.6318323243579
52036978,2024-03-26 15:01:19,1.4255323962824335e+20,325.1712368338425
52046978,2024-03-26 19:47:39,1.5848208426253573e+20,363.18803280790127
52056978,2024-03-27 00:36:34,1.595549436802809e+20,365.4205009394585
52066978,2024-03-27 05:20:09,1.623277684125333e+20,371.19035554180454
52076978,2024-03-27 10:07:34,2.0268157480997205e+20,455.1608975151902
52086978,2024-03-27 14:54:25,2.0677137930043956e+20,463.6712000191825
52096978,2024-03-27 19:40:54,2.225743377794004e+20,496.55491302488986
52106978,2024-03-28 00:27:35,2.225743377794004e+20,496.55491302488986
52116978,2024-03-28 05:12:14,2.225743377794004e+20,496.55491302488986
52126978,2024-03-28 09:54:34,2.3294987666210747e+20,517.486327472143
52136978,2024-03-28 14:38:22,2.335046958651957e+20,518.6056091609707
52146978,2024-03-28 19:22:31,2.335046958651957e+20,518.6056091609707
52156978,2024-03-29 00:05:16,2.3812039132789673e+20,528.4729049531267
52166978,2024-03-29 04:49:30,2.3812093303976713e+20,528.4740630085709
52176978,2024-03-29 09:32:19,2.3812093303976713e+20,528.4740630085709
52186978,2024-03-29 14:15:17,2.973816680307316e+20,655.1598909063724
52196978,2024-03-29 19:01:05,3.1901967219291534e+20,701.4169694215188
52206978,2024-03-29 23:44:13,3.1963711027960814e+20,702.736910107375
52216978,2024-03-30 04:27:57,3.1963711027960814e+20,702.736910107375
52226978,2024-03-30 09:12:22,3.1963711027960814e+20,702.736910107375
52236978,2024-03-30 13:56:33,3.276658365669057e+20,719.1694162483549
52246978,2024-03-30 18:40:00,3.3543607816666513e+20,735.0728781719425
52256978,2024-03-30 23:23:19,3.3543607816666513e+20,735.0728781719425
52266978,2024-03-31 04:09:31,3.3632252913676144e+20,736.9274432816296
52276978,2024-03-31 09:01:31,3.3632252913676144e+20,736.9274432816296
52286978,2024-03-31 13:54:07,3.370860073105677e+20,738.5247340861
52296978,2024-03-31 18:41:34,3.770136020463619e+20,822.0582024996849
52306978,2024-03-31 23:28:56,3.84940846078796e+20,838.6429778504641
52316978,2024-04-01 04:15:16,3.930137212812835e+20,854.6093183016142
52326978,2024-04-01 09:00:28,3.977145931925458e+20,863.9065908928386
52336978,2024-04-01 13:47:03,4.219987344358923e+20,911.93518751175
52346978,2024-04-01 18:39:58,4.220609554146506e+20,912.0582466827567
52356978,2024-04-01 23:28:31,4.318081388665819e+20,931.3359941432151
52366978,2024-04-02 04:16:02,4.318179888034422e+20,931.3548770652053
52376978,2024-04-02 09:02:09,4.318179888034422e+20,931.3548770652053
52386978,2024-04-02 13:47:56,4.319712091051448e+20,931.6486096084093
52396978,2024-04-02 18:36:17,4.450413508488621e+20,956.7048582370628
52406978,2024-04-02 23:26:08,4.450413508488621e+20,956.7048582370628
52416978,2024-04-03 04:11:32,4.543537227160155e+20,973.8864636781733
52426978,2024-04-03 08:58:15,4.543537227160155e+20,973.8864636781733
52436978,2024-04-03 13:47:40,4.543537227160155e+20,973.8864636781733
52446978,2024-04-03 18:34:46,4.543537227160155e+20,973.8864636781733
52456978,2024-04-03 23:20:59,4.5720563109074384e+20,979.1483201791594
52466978,2024-04-04 04:08:47,4.824756679825838e+20,1025.2220242360982
