block,date_time,reward,usd_rewards
29828428,2024-06-01 03:34:25,6.33539537878998e+22,3792.577419958571
29838428,2024-06-01 18:02:50,6.441772135556049e+22,3845.919911230531
29848428,2024-06-02 08:14:40,6.504317833188024e+22,3877.262457619327
29858428,2024-06-02 22:37:50,6.516118580253976e+22,3883.1759812722785
29868428,2024-06-03 13:13:30,6.516629886591919e+22,3883.430073844723
29878428,2024-06-04 03:43:55,6.6009712511528536e+22,3926.262032952371
29888428,2024-06-04 18:18:15,6.741003404585282e+22,3997.376029041923
29898428,2024-06-05 08:38:55,6.74253687166931e+22,3998.137148687045
29908428,2024-06-05 22:39:35,6.746724745618039e+22,4000.215754199264
29918428,2024-06-06 12:33:05,6.766419789019059e+22,4010.238119898948
29928428,2024-06-07 02:26:35,6.869960712238101e+22,4062.32344108051
29938428,2024-06-07 16:45:25,7.199227966190884e+22,4227.958343141606
29948428,2024-06-08 07:16:45,7.201382902508269e+22,4229.001125447951
29958428,2024-06-08 21:31:00,7.213976305376389e+22,4235.095123484747
29968428,2024-06-09 11:42:55,7.298320482113605e+22,4276.354404119967
29978428,2024-06-10 01:42:00,7.332576687067075e+22,4292.942530341409
29988428,2024-06-10 15:35:35,7.548063234163792e+22,4397.289116518085
29998428,2024-06-11 05:29:10,7.556418172495886e+22,4401.318341291046
30008428,2024-06-11 19:23:50,7.57064740803456e+22,4408.180485097958
30018428,2024-06-12 09:17:20,7.57807828134468e+22,4411.699521688204
30028428,2024-06-12 23:10:50,7.60335924378373e+22,4423.671819983011
30038428,2024-06-13 13:04:30,7.657957156753573e+22,4450.056732740728
30048428,2024-06-14 02:58:10,7.749636389167084e+22,4492.468404540903
30058428,2024-06-14 16:52:00,7.786063633046802e+22,4509.319988823843
30068428,2024-06-15 06:45:45,7.810856042678717e+22,4520.766543882121
30078428,2024-06-15 20:39:45,8.0323691708524e+22,4623.038257499963
30088428,2024-06-16 10:33:40,8.038141614601642e+22,4625.628829510966
30098428,2024-06-17 00:27:30,8.151401815138013e+22,4676.950611476172
30108428,2024-06-17 14:21:40,8.162778861018911e+22,4682.10591109018
30118428,2024-06-18 04:15:25,8.198854151891609e+22,4698.413633984024
30128428,2024-06-18 18:09:50,8.398592075055496e+22,4788.704540129261
30138428,2024-06-19 08:20:45,8.486527401370504e+22,4826.971346081872
30148428,2024-06-19 22:49:40,8.492635331940011e+22,4829.629333533218
30158428,2024-06-20 13:19:10,8.503781073526631e+22,4834.562123822943
30168428,2024-06-21 03:48:35,8.636374786286492e+22,4891.842957665187
30178428,2024-06-21 18:18:50,8.649654774201844e+22,4897.579947492027
30188428,2024-06-22 08:15:55,8.71130682824455e+22,4924.427102841143
30198428,2024-06-22 22:29:35,8.783128829044619e+22,4955.702888261498
