block,date_time,reward,usd_rewards
322198982,2024-01-24 03:13:15,0.0,0.0
322298982,2024-01-24 17:06:50,0.0,0.0
322398982,2024-01-25 07:00:12,0.0,0.0
322498982,2024-01-25 20:54:38,0.0,0.0
322598982,2024-01-26 10:48:06,0.0,0.0
322698982,2024-01-27 00:41:33,3.473350781936563e+19,6.973174197920791
322798982,2024-01-27 14:34:57,2.150463251584363e+20,43.17316562873667
322898982,2024-01-28 04:28:18,5.4439372758765647e+20,111.0472054867448
322998982,2024-01-28 18:21:38,1.2462014876481531e+21,255.68028146566544
323098982,2024-01-29 08:14:59,1.4226294256582955e+21,292.4733570305532
323198982,2024-01-29 22:08:22,1.741777467146011e+21,359.02992476739536
323298982,2024-01-30 12:01:45,1.839654158890581e+21,379.3983396745266
323398982,2024-01-31 01:55:14,2.1708899751009208e+21,446.6760800751437
323498982,2024-01-31 15:48:35,2.525295030694183e+21,518.6597550281226
323598982,2024-02-01 05:41:56,2.801974353301522e+21,573.8104071268536
323698982,2024-02-01 19:35:19,3.10313298381588e+21,633.840534067706
323798982,2024-02-02 09:29:20,3.2119597920747693e+21,655.6587573435892
323898982,2024-02-02 23:22:49,3.624289603295919e+21,738.3250050123106
323998982,2024-02-03 13:16:20,4.953170626357434e+21,1006.5772218427352
324098982,2024-02-04 03:09:40,5.394731346650253e+21,1094.8932715105784
324198982,2024-02-04 17:03:01,5.790631179150794e+21,1174.076739748927
324298982,2024-02-05 06:56:29,5.967057993491273e+21,1209.1160930673564
324398982,2024-02-05 20:49:51,6.25222205279919e+21,1265.751272165045
324498982,2024-02-06 10:43:17,6.430491827089375e+21,1300.7008813569223
324598982,2024-02-07 00:36:43,6.735943550033069e+21,1360.3941103799905
324698982,2024-02-07 14:30:16,7.449650010352936e+21,1499.87095726283
324798982,2024-02-08 04:23:42,7.864622148005072e+21,1581.0536600812732
324898982,2024-02-08 18:17:06,8.156688831891856e+21,1638.191864432297
324998982,2024-02-09 08:10:26,8.295945272046392e+21,1665.423515038516
325098982,2024-02-09 22:03:46,8.575089404172672e+21,1720.0102577873863
325198982,2024-02-10 11:57:06,8.735601879768565e+21,1751.626727360646
325298982,2024-02-11 01:50:44,9.535162577580055e+21,1911.5423166783237
325398982,2024-02-11 15:44:06,9.75054089940327e+21,1954.6189103064064
325498982,2024-02-12 05:40:04,9.996798402694149e+21,2005.3165931982332
325598982,2024-02-12 19:33:29,1.0137137435613736e+22,2034.208560725001
325698982,2024-02-13 09:26:49,1.054288456647621e+22,2121.7343840898566
325798982,2024-02-13 23:20:21,1.0822731412681538e+22,2182.1016024066303
325898982,2024-02-14 13:14:05,1.0949167385959457e+22,2210.3709914097494
325998982,2024-02-15 03:07:28,1.2538273431916309e+22,2586.6197771104235
326098982,2024-02-15 17:00:50,1.3000967782716563e+22,2696.170796743184
326198982,2024-02-16 06:54:10,1.315003818240892e+22,2733.1727855771505
326298982,2024-02-16 20:47:45,1.4407812053817123e+22,3045.375173452596
326398982,2024-02-17 10:41:10,1.4610862998487317e+22,3105.4715791265785
326498982,2024-02-18 00:34:30,1.530339778515196e+22,3336.152307206624
326598982,2024-02-18 14:27:50,1.551430014794937e+22,3406.4030896087897
326698982,2024-02-19 04:21:12,1.5877317005699872e+22,3545.2695529611347
326798982,2024-02-19 18:14:32,1.617900393995936e+22,3660.6752061857014
326898982,2024-02-20 08:07:52,1.6454827146311035e+22,3763.024216070987
326998982,2024-02-20 22:01:14,1.7259984010921996e+22,4061.791709152058
327098982,2024-02-21 12:00:51,1.7380998144436065e+22,4103.3775720555295
327198982,2024-02-22 01:54:15,1.7861302882333576e+22,4265.949556676726
327298982,2024-02-22 15:47:37,1.8322013886396836e+22,4421.889518033864
327398982,2024-02-23 05:41:00,1.8592143453307747e+22,4517.502732064855
327498982,2024-02-23 19:34:24,1.8785056674932127e+22,4585.784976617015
327598982,2024-02-24 09:33:36,1.9052811689726096e+22,4679.630114753915
327698982,2024-02-24 23:26:56,1.9843584851219384e+22,4956.787263920269
327798982,2024-02-25 13:20:16,2.005711680162103e+22,5040.419148134207
327898982,2024-02-26 03:13:46,2.107159954766048e+22,5497.883461032064
327998982,2024-02-26 17:07:07,2.1416072338812183e+22,5653.217801937742
328098982,2024-02-27 07:00:59,2.156763525841142e+22,5731.870742215509
328198982,2024-02-27 20:54:27,2.1990092309754422e+22,5951.103053898754
328298982,2024-02-28 10:48:09,2.2142152050272247e+22,6034.8240566303575
328398982,2024-02-29 00:42:17,2.2807452667832783e+22,6413.627669407778
328498982,2024-02-29 14:35:38,2.3076382344188264e+22,6566.748725209668
328598982,2024-03-01 04:28:59,2.320606082493418e+22,6632.1870847071095
328698982,2024-03-01 18:25:57,2.3405317681180544e+22,6732.736086487345
328798982,2024-03-02 08:21:15,2.4205531711920935e+22,7157.068852397035
328898982,2024-03-02 22:14:55,2.4883923411312327e+22,7516.802392568256
328998982,2024-03-03 12:09:33,2.498529327390617e+22,7570.523081807686
329098982,2024-03-04 02:03:00,2.543254933187086e+22,7795.344513650341
329198982,2024-03-04 15:57:59,2.5662749594612964e+22,7911.058882988903
